binomial,genus,species,subspecies,taxon_name,birdtree_binomal,birdtree_family,birdtree_order,birdtree_passnonpass,birdtree_oscsubosc,genbank_data,refseq_data,nature_paper_match,Preferred.genus.rep
Acanthisitta_chloris,Acanthisitta,chloris,NA,Acanthisitta_chloris,Acanthisitta_chloris,Acanthisittidae,PASSERIFORMES,PASSERIFORMES,Tyranni,1,1,Acanthisitta_chloris,1
Amazona_aestiva,Amazona,aestiva,NA,Amazona_aestiva,Amazona_aestiva,Psittacidae,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,0,Amazona_autumnalis,1
Amazona_vittata,Amazona,vittata,NA,Amazona_vittata,Amazona_vittata,Psittacidae,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,0,Amazona_autumnalis,0
Anas_platyrhynchos,Anas,platyrhynchos,NA,Anas_platyrhynchos,Anas_platyrhynchos,Anatidae,ANSERIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Anas_platyrhynchos,1
Anser_cygnoides,Anser,cygnoides,domesticus,Anser_cygnoides_domesticus,Anser_cygnoides,Anatidae,ANSERIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Anser_fabalis,1
Apaloderma_vittatum,Apaloderma,vittatum,NA,Apaloderma_vittatum,Apaloderma_vittatum,Trogonidae,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Apaloderma_vittatum,1
Aptenodytes_forsteri,Aptenodytes,forsteri,NA,Aptenodytes_forsteri,Aptenodytes_forsteri,Spheniscidae,SPHENISCIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Aptenodytes_forsteri,1
Apteryx_australis,Apteryx,australis,mantelli,Apteryx_australis_mantelli,Apteryx_australis,Apterygidae,APTERYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Apteryx_haastii,1
Aquila_chrysaetos,Aquila,chrysaetos,canadensis,Aquila_chrysaetos_canadensis,Aquila_chrysaetos,Accipitridae,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Aquila_pomarina,1
Ara_macao,Ara,macao,NA,Ara_macao,Ara_macao,Psittacidae,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,0,Ara_severus,1
Balearica_regulorum,Balearica,regulorum,gibbericeps,Balearica_regulorum_gibbericeps,Balearica_regulorum,Gruidae,GRUIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Balearica_regulorum,1
Buceros_rhinoceros,Buceros,rhinoceros,silvestris,Buceros_rhinoceros_silvestris,Buceros_rhinoceros,Bucerotidae,BUCEROTIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Buceros_hydrocorax,1
Calidris_pugnax,Calidris,pugnax,NA,Calidris_pugnax,Philomachus_pugnax,Scolopacidae,CHARADRIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Philomachus_pugnax,1
Calypte_anna,Calypte,anna,NA,Calypte_anna,Calypte_anna,Trochilidae,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Calypte_anna,1
Caprimulgus_carolinensis,Caprimulgus,carolinensis,NA,Caprimulgus_carolinensis,Caprimulgus_carolinensis,Caprimulgidae,CAPRIMULGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Caprimulgus_affinis,1
Cariama_cristata,Cariama,cristata,NA,Cariama_cristata,Cariama_cristata,Cariamidae,CARIAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Cariama_cristata,1
Cathartes_aura,Cathartes,aura,NA,Cathartes_aura,Cathartes_aura,Cathartidae,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,0,Cathartes_aura,1
Chaetura_pelagica,Chaetura,pelagica,NA,Chaetura_pelagica,Chaetura_pelagica,Apodidae,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Chaetura_pelagica,1
Charadrius_vociferus,Charadrius,vociferus,NA,Charadrius_vociferus,Charadrius_vociferus,Charadriidae,CHARADRIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Charadrius_vociferus,1
Chlamydotis_macqueenii,Chlamydotis,macqueenii,NA,Chlamydotis_macqueenii,Chlamydotis_undulata,Otididae,OTIDIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Chlamydotis_undulata,1
Colinus_virginianus,Colinus,virginianus,NA,Colinus_virginianus,Colinus_virginianus,Odontophoridae,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,0,Colinus_cristatus,1
Colius_striatus,Colius,striatus,NA,Colius_striatus,Colius_striatus,Coliidae,COLIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Colius_striatus,1
Columba_livia,Columba,livia,NA,Columba_livia,Columba_livia,Columbidae,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Columba_bollii,1
Corvus_brachyrhynchos,Corvus,brachyrhynchos,NA,Corvus_brachyrhynchos,Corvus_brachyrhynchos,Corvidae,PASSERIFORMES,PASSERIFORMES,Passeri,1,1,Corvus_corone,0
Corvus_cornix,Corvus,cornix,cornix,Corvus_cornix_cornix,Corvus_corone,Corvidae,PASSERIFORMES,PASSERIFORMES,Passeri,1,1,Corvus_corone,1
Coturnix_japonica,Coturnix,japonica,NA,Coturnix_japonica,Coturnix_japonica,Phasianidae,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Coturnix_coturnix,1
Cuculus_canorus,Cuculus,canorus,NA,Cuculus_canorus,Cuculus_canorus,Cuculidae,CUCULIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Cuculus_canorus,1
Egretta_garzetta,Egretta,garzetta,NA,Egretta_garzetta,Egretta_garzetta,Ardeidae,PELECANIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Egretta_garzetta,1
Eurypyga_helias,Eurypyga,helias,NA,Eurypyga_helias,Eurypyga_helias,Eurypygidae,EURYPYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Eurypyga_helias,1
Falco_cherrug,Falco,cherrug,NA,Falco_cherrug,Falco_cherrug,Falconidae,FALCONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,1,1,Falco_cherrug,1
