ALX1,BMP2,BMP4,BMP7,CALM1,DKK3,DLK1,FOXC1,GSC,HMGA2,LEMD3,MSRB3,RDH14,TGFBR2,WIF1,COL4A5,LRRIQ1
Meleagris_gallopavo,Coturnix_japonica,Zonotrichia_albicollis,Zonotrichia_albicollis,Egretta_garzetta,Geospiza_fortis,Meleagris_gallopavo,Cuculus_canorus,Geospiza_fortis,Manacus_vitellinus,Opisthocomus_hoazin,Meleagris_gallopavo,Zonotrichia_albicollis,Zonotrichia_albicollis,Apteryx_australis_mantelli,Serinus_canaria,Zonotrichia_albicollis
Gallus_gallus,Meleagris_gallopavo,Geospiza_fortis,Geospiza_fortis,Cuculus_canorus,Serinus_canaria,Coturnix_japonica,Corvus_brachyrhynchos,Calidris_pugnax,Lepidothrix_coronata,Anas_platyrhynchos,Gallus_gallus,Serinus_canaria,Geospiza_fortis,Tinamus_guttatus,Taeniopygia_guttata,Geospiza_fortis
Coturnix_japonica,Gallus_gallus,Taeniopygia_guttata,Fulmarus_glacialis,Falco_cherrug,Taeniopygia_guttata,Gallus_gallus,Gallus_gallus,Acanthisitta_chloris,Ficedula_albicollis,Anser_cygnoides_domesticus,Anser_cygnoides_domesticus,Parus_major,Serinus_canaria,Struthio_camelus_australis,Parus_major,Serinus_canaria
Anas_platyrhynchos,Opisthocomus_hoazin,Ficedula_albicollis,Anser_cygnoides_domesticus,Falco_peregrinus,Sturnus_vulgaris,Apteryx_australis_mantelli,Coturnix_japonica,Egretta_garzetta,Tinamus_guttatus,Zonotrichia_albicollis,Apteryx_australis_mantelli,Pseudopodoces_humilis,Taeniopygia_guttata,Meleagris_gallopavo,Acanthisitta_chloris,Pseudopodoces_humilis
Anser_cygnoides_domesticus,Chlamydotis_macqueenii,Sturnus_vulgaris,Corvus_cornix_cornix,Gallus_gallus,Pseudopodoces_humilis,Anas_platyrhynchos,Pseudopodoces_humilis,Serinus_canaria,Taeniopygia_guttata,Geospiza_fortis,Struthio_camelus_australis,Sturnus_vulgaris,Sturnus_vulgaris,Coturnix_japonica,Lepidothrix_coronata,Haliaeetus_leucocephalus
Picoides_pubescens,Aptenodytes_forsteri,Parus_major,Opisthocomus_hoazin,Coturnix_japonica,Corvus_brachyrhynchos,Anser_cygnoides_domesticus,Lepidothrix_coronata,Columba_livia,Parus_major,Ficedula_albicollis,Chaetura_pelagica,Acanthisitta_chloris,Parus_major,Gallus_gallus,Buceros_rhinoceros_silvestris,Aquila_chrysaetos_canadensis
Egretta_garzetta,Colius_striatus,Pseudopodoces_humilis,Cuculus_canorus,Meleagris_gallopavo,Corvus_cornix_cornix,Cariama_cristata,Sturnus_vulgaris,Meleagris_gallopavo,Picoides_pubescens,Parus_major,Sturnus_vulgaris,Mesitornis_unicolor,Pseudopodoces_humilis,Anas_platyrhynchos,Opisthocomus_hoazin,Nipponia_nippon
Opisthocomus_hoazin,Pseudopodoces_humilis,Corvus_brachyrhynchos,Chaetura_pelagica,Lepidothrix_coronata,Manacus_vitellinus,Leptosomus_discolor,Parus_major,Gallus_gallus,Struthio_camelus_australis,Pseudopodoces_humilis,Columba_livia,Coturnix_japonica,Corvus_brachyrhynchos,Anser_cygnoides_domesticus,Balearica_regulorum_gibbericeps,Aptenodytes_forsteri
Nipponia_nippon,Balearica_regulorum_gibbericeps,Manacus_vitellinus,Aquila_chrysaetos_canadensis,Pseudopodoces_humilis,Lepidothrix_coronata,Egretta_garzetta,Meleagris_gallopavo,Coturnix_japonica,Charadrius_vociferus,Corvus_cornix_cornix,Aquila_chrysaetos_canadensis,Gallus_gallus,Corvus_cornix_cornix,Mesitornis_unicolor,Chlamydotis_macqueenii,Pygoscelis_adeliae
Falco_cherrug,Calypte_anna,Lepidothrix_coronata,Aptenodytes_forsteri,Sturnus_vulgaris,Acanthisitta_chloris,Pterocles_gutturalis,Taeniopygia_guttata,Picoides_pubescens,Coturnix_japonica,Corvus_brachyrhynchos,Haliaeetus_leucocephalus,Nestor_notabilis,Manacus_vitellinus,Aquila_chrysaetos_canadensis,Calidris_pugnax,Eurypyga_helias
